Tag,Selected Attributes
DeviceInstance,"{""Id"": ""P-07BC-0_DI-29"", ""Address"": ""18"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1298""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-30"", ""Address"": ""19"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1299""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-38"", ""Address"": ""20"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1307""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-41"", ""Address"": ""21"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1310""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-42"", ""Address"": ""22"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZCL.2DLG1-0_P-ZCL.2DLG1"", ""Hardware2ProgramRefId"": ""M-0071_H-ZCL.2DLG1-0_HP-1251-11-A621"", ""Description"": """", ""Puid"": ""1311""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-43"", ""Address"": ""23"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZN1111-4_P-ZN1CL.2DIRSC"", ""Hardware2ProgramRefId"": ""M-0071_H-ZN1111-4_HP-1130-6D-1CED"", ""Description"": """", ""Puid"": ""1312""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-44"", ""Address"": ""24"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZN1111-4_P-ZN1CL.2DIRSC"", ""Hardware2ProgramRefId"": ""M-0071_H-ZN1111-4_HP-1130-6D-1CED"", ""Description"": """", ""Puid"": ""1313""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-45"", ""Address"": ""25"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZN1111-4_P-ZN1CL.2DIRSC"", ""Hardware2ProgramRefId"": ""M-0071_H-ZN1111-4_HP-1130-6D-1CED"", ""Description"": """", ""Puid"": ""1314""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-46"", ""Address"": ""26"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZN1111-4_P-ZN1CL.2DIRSC"", ""Hardware2ProgramRefId"": ""M-0071_H-ZN1111-4_HP-1130-6D-1CED"", ""Description"": """", ""Puid"": ""1315""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-57"", ""Address"": ""27"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1334""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-58"", ""Address"": ""28"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1335""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-59"", ""Address"": ""29"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1336""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-60"", ""Address"": ""30"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1337""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-61"", ""Address"": ""31"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1338""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-62"", ""Address"": ""32"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X4-1_P-ZVIT55X4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X4-1_HP-5931-18-D12C"", ""Description"": """", ""Puid"": ""1339""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-63"", ""Address"": ""33"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X6-1_P-ZVIT55X6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X6-1_HP-5941-18-10EC"", ""Description"": """", ""Puid"": ""1340""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-64"", ""Address"": ""34"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIT55X6-1_P-ZVIT55X6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIT55X6-1_HP-5941-18-10EC"", ""Description"": """", ""Puid"": ""1341""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-65"", ""Address"": ""37"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVI.2DTMDP4-0_P-ZVI.2DTMDP4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVI.2DTMDP4-0_HP-5341-14-E0A0"", ""Description"": """", ""Puid"": ""1342""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-66"", ""Address"": ""38"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVI.2DTMDP4-0_P-ZVI.2DTMDP4"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVI.2DTMDP4-0_HP-5341-14-E0A0"", ""Description"": """", ""Puid"": ""1343""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-70"", ""Address"": ""39"", ""Name"": ""Majlis & Dining Touch-MyDesign Plus 6"", ""ProductRefId"": ""M-0071_H-ZVI.2DTMDP6-0_P-ZVI.2DTMDP6"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVI.2DTMDP6-0_HP-5351-14-74E3"", ""Description"": """", ""Puid"": ""1347""}"
