Attribute,Count
Comment,276
Date,274
UserName,274
CreatedBy,1
ToolVersion,1
Id,1
Name,1
GroupAddressStyle,1
LastModified,1
ProjectStart,1
LastUsedPuid,1
Guid,1
ProjectType,1
Filename,1
