GroupAddressId,RawAddress,Name,DatapointType,LinkedDeviceCount,LinkedDevices,SuggestedLogicalDomain
P-07BC-0_GA-664,2093,On/Off 23 Info,DPST-1-6,1,P-07BC-0_DI-16(6) Relay actuator 16-channel,Lighting
P-07BC-0_GA-665,2094,On/Off 24,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-666,2095,On/Off 24 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-667,2096,On/Off 25,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-668,2097,On/Off 25 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-669,2098,On/Off 26,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-670,2099,On/Off 26 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-671,2100,On/Off 27,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-672,2101,On/Off 27 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-673,2102,On/Off 28,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-674,2103,On/Off 28 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-85(43) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-675,2104,On/Off 29,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-676,2105,On/Off 29 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-677,2106,On/Off 30,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-678,2107,On/Off 30 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-679,2108,On/Off 31,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-680,2109,On/Off 31 Info,DPST-1-6,3,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-86(42) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-681,2110,On/Off 32,DPST-1-6,2,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-682,2111,On/Off 32 Info,DPST-1-6,2,P-07BC-0_DI-16(6) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-683,2112,On/Off 33,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-684,2113,On/Off 33 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-685,2114,On/Off 34,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-686,2115,On/Off 34 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-687,2116,On/Off 35,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-688,2117,On/Off 35 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-689,2118,On/Off 36,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-690,2119,On/Off 36 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-691,2120,On/Off 37,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-692,2121,On/Off 37 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-693,2122,On/Off 38,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-694,2123,On/Off 38 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-695,2124,On/Off 39,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-696,2125,On/Off 39 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-697,2126,On/Off 40,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-698,2127,On/Off 40 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-699,2128,On/Off 41,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-700,2129,On/Off 41 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-701,2130,On/Off 42,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-702,2131,On/Off 42 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-88(45) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-703,2132,On/Off 43,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-704,2133,On/Off 43 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-705,2134,On/Off 44,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-706,2135,On/Off 44 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-707,2136,On/Off 45,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-708,2137,On/Off 45 Info,DPST-1-6,2,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-709,2138,On/Off 46,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-710,2139,On/Off 46 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-711,2140,On/Off 47,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-712,2141,On/Off 47 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-713,2142,On/Off 48,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-714,2143,On/Off 48 Info,DPST-1-6,3,P-07BC-0_DI-17(7) Relay actuator 16-channel | P-07BC-0_DI-91(48) Z35 v2 touch panel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-715,2144,On/Off 49,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-716,2145,On/Off 49 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-717,2146,On/Off 50,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-718,2147,On/Off 50 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-719,2148,On/Off 51,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-720,2149,On/Off 51 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-721,2150,On/Off 52,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-722,2151,On/Off 52 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-723,2152,On/Off 53,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-724,2153,On/Off 53 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-725,2154,On/Off 54,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-726,2155,On/Off 54 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-727,2156,On/Off 55,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-728,2157,On/Off 55 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-729,2158,On/Off 56,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-730,2159,On/Off 56 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-731,2160,On/Off 57,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-732,2161,On/Off 57 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-733,2162,On/Off 58,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-734,2163,On/Off 58 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-735,2164,On/Off 59,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-736,2165,On/Off 59 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-737,2166,On/Off 60,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-738,2167,On/Off 60 Info,DPST-1-6,2,P-07BC-0_DI-18(8) Relay actuator 24-channel | P-07BC-0_DI-99(51) Z100 touch panel,Lighting
P-07BC-0_GA-739,2168,On/Off 61,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-740,2169,On/Off 61 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-741,2170,On/Off 62,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-742,2171,On/Off 62 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-743,2172,On/Off 63,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-744,2173,On/Off 63 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-745,2174,On/Off 64,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-746,2175,On/Off 64 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-747,2176,On/Off 65,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-748,2177,On/Off 65 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-749,2178,On/Off 66,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-750,2179,On/Off 66 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-751,2180,On/Off 67,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-752,2181,On/Off 67 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-753,2182,On/Off 68,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-754,2183,On/Off 68 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-755,2184,On/Off 69,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-756,2185,On/Off 69 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-757,2186,On/Off 70,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
P-07BC-0_GA-758,2187,On/Off 70 Info,DPST-1-6,1,P-07BC-0_DI-18(8) Relay actuator 24-channel,Lighting
